attack,defense,hp,name,sp_attack,sp_defense,speed,type1,type2
70,40,55,Cubchoo,60,40,40,ice,
130,80,95,Beartic,70,80,50,ice,
50,50,80,Cryogonal,95,135,105,ice,
40,85,50,Shelmet,40,65,25,bug,
70,40,80,Accelgor,100,60,145,bug,
66,84,109,Stunfisk,81,99,32,ground,electric
85,50,45,Mienfoo,55,50,65,fighting,
125,60,65,Mienshao,95,60,105,fighting,
120,90,77,Druddigon,60,90,48,dragon,
74,50,59,Golett,35,50,35,ground,ghost
124,80,89,Golurk,55,80,55,ground,ghost
85,70,45,Pawniard,40,40,60,dark,steel
125,100,65,Bisharp,60,70,70,dark,steel
110,95,95,Bouffalant,40,95,55,normal,
83,50,70,Rufflet,37,50,60,normal,flying
123,75,100,Braviary,57,75,80,normal,flying
55,75,70,Vullaby,45,65,60,dark,flying
65,105,110,Mandibuzz,55,95,80,dark,flying
97,66,85,Heatmor,105,66,65,fire,
109,112,58,Durant,48,48,109,bug,steel
65,50,52,Deino,45,50,38,dark,dragon
85,70,72,Zweilous,65,70,58,dark,dragon
105,90,92,Hydreigon,125,90,98,dark,dragon
85,55,55,Larvesta,50,55,60,bug,fire
60,65,85,Volcarona,135,105,100,bug,fire
90,129,91,Cobalion,90,72,108,steel,fighting
129,90,91,Terrakion,72,90,108,rock,fighting
90,72,91,Virizion,90,129,108,grass,fighting
100,80,79,Tornadus,110,90,121,flying,
105,70,79,Thundurus,145,80,101,electric,flying
120,100,100,Reshiram,150,120,90,dragon,fire
150,120,100,Zekrom,120,100,90,dragon,electric
145,90,89,Landorus,105,80,91,ground,flying
120,90,125,Kyurem,170,100,95,dragon,ice
72,90,91,Keldeo,129,90,108,water,fighting
128,90,100,Meloetta,77,77,128,normal,psychic
120,95,71,Genesect,120,95,99,bug,steel
61,65,56,Chespin,48,45,38,grass,
78,95,61,Quilladin,56,58,57,grass,
107,122,88,Chesnaught,74,75,64,grass,fighting
45,40,40,Fennekin,62,60,60,fire,
59,58,59,Braixen,90,70,73,fire,
69,72,75,Delphox,114,100,104,fire,psychic
56,40,41,Froakie,62,44,71,water,
63,52,54,Frogadier,83,56,97,water,
145,67,72,Greninja,153,71,132,water,dark
36,38,38,Bunnelby,32,36,57,normal,
56,77,85,Diggersby,50,77,78,normal,ground
50,43,45,Fletchling,40,38,62,normal,flying
73,55,62,Fletchinder,56,52,84,fire,flying
81,71,78,Talonflame,74,69,126,fire,flying
35,40,38,Scatterbug,27,25,35,bug,
22,60,45,Spewpa,27,30,29,bug,
52,50,80,Vivillon,90,50,89,bug,flying
50,58,62,Litleo,73,54,72,fire,normal
68,72,86,Pyroar,109,66,106,fire,normal
38,39,44,Flabébé,61,79,42,fairy,
65,67,74,Floette,125,128,92,fairy,
65,68,78,Florges,112,154,75,fairy,
65,48,66,Skiddo,62,57,52,grass,
100,62,123,Gogoat,97,81,68,grass,
82,62,67,Pancham,46,48,43,fighting,
124,78,95,Pangoro,69,71,58,fighting,dark
80,60,75,Furfrou,65,90,102,normal,
48,54,62,Espurr,63,60,68,psychic,
48,76,74,Meowstic,83,81,104,psychic,
80,100,45,Honedge,35,37,28,steel,ghost
110,150,59,Doublade,45,49,35,steel,ghost
150,50,60,Aegislash,150,50,60,steel,ghost
52,60,78,Spritzee,63,65,23,fairy,
72,72,101,Aromatisse,99,89,29,fairy,
48,66,62,Swirlix,59,57,49,fairy,
80,86,82,Slurpuff,85,75,72,fairy,
54,53,53,Inkay,37,46,45,dark,psychic
92,88,86,Malamar,68,75,73,dark,psychic
52,67,42,Binacle,39,56,50,rock,water
105,115,72,Barbaracle,54,86,68,rock,water
60,60,50,Skrelp,60,60,30,poison,water
75,90,65,Dragalge,97,123,44,poison,dragon
53,62,50,Clauncher,58,63,44,water,
73,88,71,Clawitzer,120,89,59,water,
38,33,44,Helioptile,61,43,70,electric,normal
55,52,62,Heliolisk,109,94,109,electric,normal
89,77,58,Tyrunt,45,45,48,rock,dragon
121,119,82,Tyrantrum,69,59,71,rock,dragon
59,50,77,Amaura,67,63,46,rock,ice
77,72,123,Aurorus,99,92,58,rock,ice
65,65,95,Sylveon,110,130,60,fairy,
92,75,78,Hawlucha,74,63,118,fighting,flying
58,57,67,Dedenne,81,67,101,electric,fairy
50,150,50,Carbink,50,150,50,rock,fairy
50,35,45,Goomy,55,75,40,dragon,
75,53,68,Sliggoo,83,113,60,dragon,
100,70,90,Goodra,110,150,80,dragon,
80,91,57,Klefki,80,87,75,steel,fairy
70,48,43,Phantump,50,60,38,ghost,grass
110,76,85,Trevenant,65,82,56,ghost,grass
66,70,59,Pumpkaboo,44,55,41,ghost,grass
100,122,85,Gourgeist,58,75,54,ghost,grass
69,85,55,Bergmite,32,35,28,ice,
117,184,95,Avalugg,44,46,28,ice,
30,35,40,Noibat,45,40,55,flying,dragon
70,80,85,Noivern,97,80,123,flying,dragon
131,95,126,Xerneas,131,98,99,fairy,
131,95,126,Yveltal,131,98,99,dark,flying
100,121,216,Zygarde,91,95,85,dragon,ground
160,110,50,Diancie,160,110,110,rock,fairy
160,60,80,Hoopa,170,130,80,psychic,ghost
110,120,80,Volcanion,130,90,70,fire,water
55,55,68,Rowlet,50,50,42,grass,flying
75,75,78,Dartrix,70,70,52,grass,flying
107,75,78,Decidueye,100,100,70,grass,ghost
65,40,45,Litten,60,40,70,fire,
85,50,65,Torracat,80,50,90,fire,
115,90,95,Incineroar,80,90,60,fire,dark
54,54,50,Popplio,66,56,40,water,
69,69,60,Brionne,91,81,50,water,
74,74,80,Primarina,126,116,60,water,fairy
75,30,35,Pikipek,30,30,65,normal,flying
85,50,55,Trumbeak,40,50,75,normal,flying
120,75,80,Toucannon,75,75,60,normal,flying
70,30,48,Yungoos,30,30,45,normal,
110,60,88,Gumshoos,55,60,45,normal,
62,45,47,Grubbin,55,45,46,bug,
82,95,57,Charjabug,55,75,36,bug,electric
70,90,77,Vikavolt,145,75,43,bug,electric
82,57,47,Crabrawler,42,47,63,fighting,
132,77,97,Crabominable,62,67,43,fighting,ice
70,70,75,Oricorio,98,70,93,fire,flying
45,40,40,Cutiefly,55,40,84,bug,fairy
55,60,60,Ribombee,95,70,124,bug,fairy
65,40,45,Rockruff,30,40,60,rock,
115,75,85,Lycanroc,55,75,82,rock,
140,130,45,Wishiwashi,140,135,30,water,
53,62,50,Mareanie,43,52,45,poison,water
63,152,50,Toxapex,53,142,35,poison,water
100,70,70,Mudbray,45,55,45,ground,
125,100,100,Mudsdale,55,85,35,ground,
40,52,38,Dewpider,40,72,27,water,bug
70,92,68,Araquanid,50,132,42,water,bug
55,35,40,Fomantis,50,35,35,grass,
105,90,70,Lurantis,80,90,45,grass,
35,55,40,Morelull,65,75,15,grass,fairy
45,80,60,Shiinotic,90,100,30,grass,fairy
44,40,48,Salandit,71,40,77,poison,fire
64,60,68,Salazzle,111,60,117,poison,fire
75,50,70,Stufful,45,50,50,normal,fighting
125,80,120,Bewear,55,60,60,normal,fighting
30,38,42,Bounsweet,30,38,32,grass,
40,48,52,Steenee,40,48,62,grass,
120,98,72,Tsareena,50,98,72,grass,
52,90,51,Comfey,82,110,100,fairy,
60,80,90,Oranguru,90,110,60,normal,psychic
120,90,100,Passimian,40,60,80,fighting,
35,40,25,Wimpod,20,30,80,bug,water
125,140,75,Golisopod,60,90,40,bug,water
55,80,55,Sandygast,70,45,15,ghost,ground
75,110,85,Palossand,100,75,35,ghost,ground
60,130,55,Pyukumuku,30,130,5,water,
95,95,95,Type: Null,95,95,59,normal,
95,95,95,Silvally,95,95,95,normal,
100,60,60,Minior,100,60,120,rock,flying
115,65,65,Komala,75,95,65,normal,
78,135,60,Turtonator,91,85,36,fire,dragon
98,63,65,Togedemaru,40,73,96,electric,steel
90,80,55,Mimikyu,50,105,96,ghost,fairy
105,70,68,Bruxish,70,70,92,water,psychic
60,85,78,Drampa,135,91,36,normal,dragon
131,100,70,Dhelmise,86,90,40,ghost,grass
55,65,45,Jangmo-o,45,45,45,dragon,
75,90,55,Hakamo-o,65,70,65,dragon,fighting
110,125,75,Kommo-o,100,105,85,dragon,fighting
115,85,70,Tapu Koko,95,75,130,electric,fairy
85,75,70,Tapu Lele,130,115,95,psychic,fairy
130,115,70,Tapu Bulu,85,95,75,grass,fairy
75,115,70,Tapu Fini,95,130,85,water,fairy
29,31,43,Cosmog,29,31,37,psychic,
29,131,43,Cosmoem,29,131,37,psychic,
137,107,137,Solgaleo,113,89,97,psychic,steel
113,89,137,Lunala,137,107,97,psychic,ghost
53,47,109,Nihilego,127,131,103,rock,poison
139,139,107,Buzzwole,53,53,79,bug,fighting
137,37,71,Pheromosa,137,37,151,bug,fighting
89,71,83,Xurkitree,173,71,83,electric,
101,103,97,Celesteela,107,101,61,steel,flying
181,131,59,Kartana,59,31,109,grass,steel
101,53,223,Guzzlord,97,53,43,dark,dragon
107,101,97,Necrozma,127,89,79,psychic,
95,115,80,Magearna,130,115,65,steel,fairy
